지역코드,전체가구,1인가구,비중,소계,29세이하,30~39세,40~49세,50~59세,60~69세,70세이상
00,21774,7502,34.5,100.0,19.2,17.3,13.0,15.2,16.7,18.6
11,4099,1564,38.2,100.0,26.7,22.9,12.4,11.5,12.8,13.6
26,1448,512,35.3,100.0,18.9,14.4,11.2,14.3,19.6,21.7
27,1011,342,33.8,100.0,17.9,14.9,12.2,16.2,18.7,20.3
28,1213,376,31.0,100.0,15.8,17.8,14.5,16.9,18.1,16.8
29,623,221,35.5,100.0,21.4,17.4,14.1,15.5,15.3,16.3
30,646,249,38.5,100.0,29.6,17.4,11.7,13.3,14.3,13.8
31,454,137,30.2,100.0,14.3,16.7,15.3,18.3,19.4,16.0
36,154,51,32.8,100.0,29.2,23.9,14.5,12.6,10.3,9.5
41,5407,1634,30.2,100.0,17.3,19.8,15.3,16.4,16.1,15.1
51,685,254,37.2,100.0,16.7,11.5,10.9,16.8,20.7,23.3
43,705,261,37.0,100.0,19.0,15.1,11.9,16.1,17.9,20.1
44,931,341,36.6,100.0,18.2,15.3,12.6,15.5,16.9,21.6
52,778,285,36.6,100.0,16.6,11.8,11.3,15.6,17.9,26.8
46,785,283,36.1,100.0,10.7,10.2,10.9,16.6,19.1,32.6
47,1166,431,37.0,100.0,15.1,11.9,11.5,15.9,19.2,26.5
48,1393,469,33.7,100.0,12.1,12.8,13.2,17.6,20.4,23.9
50,276,92,33.4,100.0,13.9,15.1,16.7,20.5,17.4,16.4
